UF,Cidade,Lat,Lon,ID,,
BA,Ipirá,-12.1577789,-39.7389039,2,,
BA,Ipupiara,-11.821881,-42.617913,2,,
BA,Irajuba,-13.256331,-40.08482,2,,
BA,Iramaia,-13.290186,-40.959471,2,,
BA,Iraquara,-12.24288,-41.615504,2,,
BA,Irará,-12.050449,-38.763139,2,,
BA,Irecê,-11.303317,-41.853462,2,,
BA,Itabela,-16.573188,-39.559318,2,,
BA,Itaberaba,-12.5108686,-40.3106221,2,,
BA,Itabuna,-14.7876,-39.2782,2,,
BA,Itacaré,-14.278422,-38.99591,2,,
BA,Itaeté,-12.983121,-40.96774,2,,
BA,Itagi,-14.1615,-40.013112,2,,
BA,Itagibá,-14.278239,-39.844945,2,,
BA,Itagimirim,-16.081919,-39.613317,2,,
BA,Itaguaçu da Bahia,-11.014672,-42.399671,2,,
BA,Itaju do Colônia,-15.136598,-39.728298,2,,
BA,Itajuípe,-14.678766,-39.369823,2,,
BA,Itamaraju,-17.0351619,-39.5302001,2,,
BA,Itamari,-13.778192,-39.682959,2,,
BA,Itambé,0,0,2,,
BA,Itanagra,-12.261435,-38.043595,2,,
BA,Itanhém,-17.164207,-40.332139,2,,
BA,Itaparica,0,0,2,,
BA,Itapé,-14.887641,-39.423858,2,,
BA,Itapebi,-15.955063,-39.532863,2,,
BA,Itapetinga,-15.2451518,-40.2458578,2,,
BA,Itapicuru,-11.308836,-38.226229,2,,
BA,Itapitanga,-14.413932,-39.565654,2,,
BA,Itaquara,-13.44589,-39.937767,2,,
BA,Itarantim,-15.652819,-40.06496,2,,
BA,Itatim,-12.709888,-39.695199,2,,
BA,Itiruçu,-13.529043,-40.147186,2,,
BA,Itiúba,-10.694761,-39.844616,2,,
BA,Itororó,-15.109988,-40.068401,2,,
BA,Ituaçu,-13.810651,-41.300284,2,,
BA,Ituberá,-13.724936,-39.148059,2,,
BA,Iuiú,-14.405424,-43.559547,2,,
BA,Jaborandi,0,0,2,,
BA,Jacaraci,-14.85409,-42.432878,2,,
BA,Jacobina,-11.181217,-40.511693,2,,
BA,Jaguaquara,-13.524834,-39.964009,2,,
BA,Jaguarari,-10.256859,-40.199938,2,,
BA,Jaguaripe,-13.110924,-38.893891,2,,
BA,Jandaíra,0,0,2,,
BA,Jequié,-13.850888,-40.087704,2,,
BA,Jeremoabo,-10.06848,-38.347097,2,,
BA,Jiquiriçá,-13.262101,-39.57365,2,,
BA,Jitaúna,-14.013085,-39.896892,2,,
BA,João Dourado,-11.348642,-41.654799,2,,
BA,Juazeiro,-9.4201,-40.4979,2,,
BA,Jucuruçu,-16.848752,-40.164074,2,,
BA,Jussara,0,0,2,,
BA,Jussari,-15.19201,-39.490962,2,,
BA,Jussiape,-13.515514,-41.588209,2,,
BA,Lafaiete Coutinho,-13.6541,-40.21189,2,,
BA,Lagoa Real,-14.033443,-42.132764,2,,
BA,Laje,-13.167327,-39.421264,2,,
BA,Lajedão,-17.609165,-40.344825,2,,
BA,Lajedinho,-12.352889,-40.904752,2,,
BA,Lajedo do Tabocal,-13.466286,-40.220429,2,,
BA,Lamarão,0,0,2,,
BA,Lapão,-11.385096,-41.828615,2,,
BA,Lauro de Freitas,-12.89,-38.32,2,,
BA,Lençóis,-12.561604,-41.392825,2,,
BA,Licínio de Almeida,-14.684215,-42.509527,2,,
BA,Livramento de Nossa Senhora,-13.636868,-41.843187,2,,
BA,Luís Eduardo Magalhães,0,0,2,,
BA,Macajuba,-12.132592,-40.357058,2,,
BA,Macarani,-15.564563,-40.420888,2,,
BA,Macaúbas,-13.018601,-42.694515,2,,
BA,Macururé,-9.162258,-39.051784,2,,
BA,Madre de Deus,0,0,2,,
BA,Maetinga,-14.662335,-41.49146,2,,
BA,Maiquinique,-15.623985,-40.258722,2,,
BA,Mairi,-11.710704,-40.143732,2,,
BA,Malhada,0,0,2,,
BA,Malhada de Pedras,-14.384673,-41.88422,2,,
BA,Manoel Vitorino,-14.147617,-40.239895,2,,
BA,Mansidão,-10.722707,-44.042798,2,,
BA,Maracás,-13.435468,-40.432333,2,,
BA,Maragogipe,-12.77602,-38.917519,2,,
BA,Maraú,-14.103549,-39.013656,2,,
BA,Marcionílio Souza,-13.006437,-40.529457,2,,
BA,Mascote,-15.554159,-39.301602,2,,
BA,Mata de São João,-12.530685,-38.300898,2,,
BA,Matina,-13.910917,-42.843914,2,,
BA,Medeiros Neto,-17.370676,-40.223776,2,,
BA,Miguel Calmon,-11.429891,-40.603084,2,,
BA,Milagres,0,0,2,,
BA,Mirangaba,-10.960983,-40.573996,2,,
BA,Mirante,-14.238469,-40.771799,2,,
BA,Monte Santo,-10.437413,-39.332077,2,,
BA,Morpará,-11.556892,-43.276566,2,,
BA,Morro do Chapéu,0,0,2,,
BA,Mortugaba,-15.022454,-42.372663,2,,
BA,Mucugê,-13.0053,-41.370271,2,,
BA,Mucuri,0,0,2,,
BA,Mulungu do Morro,-11.964776,-41.637352,2,,
BA,Mundo Novo,0,0,2,,
BA,Muniz Ferreira,-13.009227,-39.109247,2,,
BA,Muquém de São Francisco,-12.063376,-43.543808,2,,
BA,Muritiba,-12.632901,-38.992052,2,,
BA,Mutuípe,-13.228381,-39.504367,2,,
BA,Nazaré,0,0,2,,
BA,Nilo Peçanha,-13.603992,-39.109111,2,,
BA,Nordestina,0,0,2,,
BA,Nova Canaã,-14.791242,-40.1458,2,,
BA,Nova Fátima,0,0,2,,
BA,Nova Ibiá,-13.811995,-39.618174,2,,
BA,Nova Itarana,-13.024055,-40.065267,2,,
BA,Nova Redenção,-12.815001,-41.074785,2,,
BA,Nova Soure,-11.232948,-38.487103,2,,
BA,Nova Viçosa,-17.892648,-39.374331,2,,
BA,Novo Horizonte,0,0,2,,
BA,Novo Triunfo,-10.318235,-38.401374,2,,
BA,Olindina,-11.349693,-38.337863,2,,
BA,Oliveira dos Brejinhos,-12.313183,-42.896872,2,,
BA,Ouriçangas,-12.017497,-38.616624,2,,
BA,Ourolândia,-10.957848,-41.075576,2,,
BA,Palmas de Monte Alto,-14.267562,-43.16086,2,,
BA,Palmeiras,0,0,2,,
BA,Paramirim,-13.438849,-42.239502,2,,
BA,Paratinga,-12.686974,-43.179794,2,,
BA,Paripiranga,-10.6957841,-37.8648803,2,,
BA,Pau Brasil,-15.457226,-39.645794,2,,
BA,Paulo Afonso,-9.3982,-38.2217,2,,
BA,Pé de Serra,-11.831289,-39.611037,2,,
BA,Pedrão,-12.14914,-38.648715,2,,
BA,Pedro Alexandre,-10.012005,-37.893178,2,,
BA,Piatã,-13.146549,-41.770177,2,,
BA,Pilão Arcado,-10.0004862,-42.4797105,2,,
BA,Pindaí,-14.492128,-42.685984,2,,
BA,Pindobaçu,-10.743338,-40.367472,2,,
BA,Pintadas,-11.811712,-39.900859,2,,
BA,Piraí do Norte,-13.758962,-39.383592,2,,
BA,Piripá,-14.944379,-41.716841,2,,
BA,Piritiba,-11.713635,-40.543897,2,,
BA,Planaltino,-13.261789,-40.369519,2,,
BA,Planalto,0,0,2,,
BA,Poções,-14.523391,-40.363354,2,,
BA,Pojuca,-12.430336,-38.337436,2,,
BA,Ponto Novo,-10.8653,-40.131144,2,,
BA,Porto Seguro,-16.4436,-39.0643,2,,
BA,Potiraguá,-15.59429,-39.863846,2,,
BA,Prado,0,0,2,,
BA,Presidente Dutra,0,0,2,,
BA,Presidente Jânio Quadros,-14.688485,-41.679792,2,,
BA,Presidente Tancredo Neves,-13.447064,-39.420267,2,,
BA,Queimadas,0,0,2,,
BA,Quijingue,-10.750519,-39.213694,2,,
BA,Quixabeira,-11.403061,-40.120045,2,,
BA,Rafael Jambeiro,-12.405257,-39.500658,2,,
BA,Remanso,-9.6241838,-42.0812594,2,,
BA,Retirolândia,-11.483198,-39.423358,2,,
BA,Riachão das Neves,-11.750755,-44.914259,2,,
BA,Riachão do Jacuípe,-11.8090926,-39.3817624,2,,
BA,Riacho de Santana,0,0,2,,
BA,Ribeira do Amparo,-11.042071,-38.424211,2,,
BA,Ribeira do Pombal,-10.837299,-38.538152,2,,
BA,Ribeirão do Largo,-15.450775,-40.744137,2,,
BA,Rio de Contas,-13.585218,-41.804764,2,,
BA,Rio do Antônio,-14.407144,-42.072103,2,,
BA,Rio do Pires,-13.11853,-42.290166,2,,
BA,Rio Real,-11.48137,-37.933243,2,,
BA,Rodelas,-8.850503,-38.772173,2,,
BA,Ruy Barbosa,0,0,2,,
BA,Salinas da Margarida,0,0,2,,
BA,Salvador,-12.98163556,-38.48207707,4,,
BA,Santa Bárbara,0,0,2,,
BA,Santa Brígida,-9.732273,-38.120935,2,,
BA,Santa Cruz Cabrália,-16.282529,-39.029495,2,,
BA,Santa Cruz da Vitória,-14.963975,-39.811503,2,,
BA,Santa Inês,0,0,2,,
BA,Santa Luzia,0,0,2,,
BA,Santa Maria da Vitória,-13.385867,-44.201057,2,,
BA,Santa Rita de Cássia,-11.006253,-44.525496,2,,
BA,Santa Teresinha,0,0,2,,
BA,Santaluz,-11.250826,-39.375005,2,,
BA,Santana,-0.055426,-51.1767672,2,,
BA,Santanópolis,-12.031109,-38.869372,2,,
BA,Santo Amaro,-12.547206,-38.713679,2,,
BA,Santo Antônio de Jesus,-12.961387,-39.258403,2,,
